pos.TSS	pos.TES	nb.TSS	nb.TES	RNA-seq	coverage
Pa_1_1032.G	9439	8596	1	1	SRR6960211	1000
Pa_1_1030.G	10260;10295	11734;11823	2	2	SRR3197702;SRR6960211	50
Pa_1_1010.G	NA	NA	NA	NA	NA	NA
Pa_1_1000.G	27511;27508;27417	28753;28719;28724	3	3	SRR6960212;SRR6960215;SRR6960225	2500
Pa_1_980.G	NA	NA	NA	NA	NA	NA
Pa_1_970.G	33314;33314	33866;33878	1	2	SRR6960215;SRR6960216	2500
Pa_1_960.G	NA	NA	NA	NA	NA	NA
Pa_1_950.G	37363	38621	1	1	SRR6960225	5000
Pa_1_940.G	42809;42787;42748	40075;40088;40079	3	3	SRR6960209;SRR6960219;SRR6960221	100
Pa_1_930.G	NA	NA	NA	NA	NA	NA
Pa_1_920.G	46526	44743	1	1	ERR2224051	100
Pa_1_910.G	48780	47036	1	1	ERR2224048	25
Pa_1_900.G	52649;52530	48937;48940	2	2	ERR2224051;SRR3197710	50
Pa_1_890.G	52833	53660	1	1	SRR3197701	100
Pa_1_880.G	NA	NA	NA	NA	NA	NA
Pa_1_870.G	56962;56963	55394;55350	2	2	SRR6960217;SRR6960219	75
Pa_1_860.G	57179	57894	1	1	SRR6960217	100
Pa_1_850.G	58435;58421	60034;60034	2	1	SRR6960213;SRR6960221	50
Pa_1_840.G	60956	60019	1	1	SRR3197710	10
Pa_1_830.G	63235;63237;63250	61265;61265;61265	3	1	SRR6960209;SRR6960219;SRR6960222	500
Pa_1_820.G	NA	NA	NA	NA	NA	NA
Pa_1_810.G	68430	66201	1	1	SRR6960218	100
Pa_1_800.G	71001	69523	1	1	ERR2224048	250
Pa_1_790.G	74111	76705	1	1	SRR6960217	1000
Pa_1_780.G	78139;78155	76734;76731	2	2	SRR6960217;SRR6960222	10
Pa_1_770.G	80217	78457	1	1	ERR2224050	100
Pa_1_760.G	83981	81733	1	1	ERR2224050	75
Pa_1_750.G	86212	84114	1	1	ERR2224047	75
Pa_1_740.G	89398	87117	1	1	ERR2224050	250
Pa_1_730.G	89595;89877;89595;89607;89600;89607;89607;89607;89671;89618;89633;89624;89627;89625;89626;89625;89624;89624	91274;91274;91274;91226;91275;91328;91276;91295;91301;91295;91277;91289;91293;91286;91286;91286;91410;91292	11	13	ERR2224047;ERR2224048;ERR2224051;SRR3197704;SRR3197705;SRR3197708;SRR3197709;SRR3197710;SRR6960208;SRR6960211;SRR6960215;SRR6960216;SRR6960217;SRR6960219;SRR6960221;SRR6960222;SRR6960223;SRR6960225	100
Pa_1_720.G	91591;91605	92939;92917	2	2	SRR6960219;SRR6960221	100
Pa_1_710.G	95578;95803;95840;95832;95588;95834;95399;95887	97769;97769;97769;97910;97795;97794;97861;97923	8	6	ERR2224047;SRR3197701;SRR6960211;SRR6960215;SRR6960217;SRR6960220;SRR6960222;SRR6960225	10
Pa_1_700.G	100641;100623	98094;98049	2	2	SRR3197700;SRR6960213	25
Pa_1_698.G	NA	NA	NA	NA	NA	NA
Pa_1_690.G	104237;104201;104223;104285;104235;104271;104214;104235	102071;102607;102026;102631;102039;102063;102024;102036	7	8	SRR3197711;SRR6960209;SRR6960215;SRR6960216;SRR6960217;SRR6960219;SRR6960221;SRR6960222	250
Pa_1_680.G	104893;104909;104911;104907;104912;104903;104912;104953	106349;106349;106351;106349;106349;106349;106416;106351	7	3	SRR3197710;SRR6960209;SRR6960212;SRR6960217;SRR6960219;SRR6960221;SRR6960222;SRR6960225	250
Pa_1_670.G	106853	107549	1	1	SRR6960209	100
Pa_1_675.G	108311;108325;108292;108298;108281	107601;107690;107609;107623;107626	5	5	ERR2224047;SRR3197704;SRR3197705;SRR6960209;SRR6960222	100
Pa_1_660.G	108724;108724;108738	110788;110762;110609	2	3	ERR2224046;ERR2224047;SRR6960220	25
Pa_1_650.G	112191;112201;112185;112169;112178;112174;112190;112139;112127;112174;112174;112144;112149	110521;110478;110480;110519;110476;110468;110525;110480;110515;110465;110471;110476;110476	11	10	SRR3197700;SRR3197704;SRR3197705;SRR3197708;SRR3197709;SRR3197710;SRR3197711;SRR6960209;SRR6960213;SRR6960217;SRR6960218;SRR6960219;SRR6960221	100
Pa_1_640.G	112343;112341;112370;112368;112373;112358;112343;112350;112418;112382;112391;112461;112394;112415;112414;112382;112382;112382;112401	114546;114544;114556;114544;114569;114558;114564;114543;114550;114553;114556;114558;114558;114558;114553;114553;114553;114558;114554	15	10	ERR2224046;ERR2224048;SRR3197700;SRR3197701;SRR3197704;SRR3197705;SRR3197710;SRR3197711;SRR6960209;SRR6960212;SRR6960213;SRR6960214;SRR6960217;SRR6960218;SRR6960219;SRR6960221;SRR6960222;SRR6960223;SRR6960225	25
Pa_1_630.G	NA	NA	NA	NA	NA	NA
Pa_1_620.G	119184	122198	1	1	ERR2224047	50
Pa_1_618.G	123131	124820	1	1	SRR3197710	10
Pa_1_615.G	125832	128072	1	1	ERR2224051	100
Pa_1_610.G	128297	129446	1	1	ERR2224050	7500
Pa_1_600.G	NA	NA	NA	NA	NA	NA
Pa_1_590.G	131832;131832	133541;133493	1	2	ERR2224048;ERR2224049	25
Pa_1_580.G	NA	NA	NA	NA	NA	NA
Pa_1_570.G	NA	NA	NA	NA	NA	NA
Pa_1_560.G	141617;141590;141594;141590;141585;141522;141528;141565;141567;141562;141562;141583;141570	139548;139595;139589;139596;139575;139573;139568;139595;139572;139581;139573;139572;139572	11	9	ERR2224048;SRR3197704;SRR3197709;SRR3197710;SRR6960209;SRR6960212;SRR6960213;SRR6960217;SRR6960219;SRR6960221;SRR6960222;SRR6960223;SRR6960225	100
Pa_1_550.G	NA	NA	NA	NA	NA	NA
Pa_1_540.G	148389;148391	147259;147257	2	2	SRR3197710;SRR3197711	100
Pa_1_548.G	149311	148372	1	1	SRR6960225	50
Pa_1_543.G	NA	NA	NA	NA	NA	NA
Pa_1_530.G	154790;154619	153492;153504	2	2	SRR3197711;SRR6960213	100
Pa_1_520.G	154768;154955;155046;155131	155940;155977;156015;156025	4	4	SRR3197701;SRR3197708;SRR6960213;SRR6960218	25
Pa_1_500.G	161418;160960;160632	162756;162796;162754	3	3	ERR2224046;SRR3197703;SRR3197709	10
Pa_1_495.G	NA	NA	NA	NA	NA	NA
Pa_1_493.G	NA	NA	NA	NA	NA	NA
Pa_1_480.G	NA	NA	NA	NA	NA	NA
Pa_1_470.G	NA	NA	NA	NA	NA	NA
Pa_1_460.G	176412;176426	174539;174617	2	2	SRR3197701;SRR6960218	100
Pa_1_450.G	NA	NA	NA	NA	NA	NA
Pa_1_445.G	181334;181377;181563;181524	180583;180597;180614;180608	4	4	SRR6960208;SRR6960210;SRR6960214;SRR6960223	10
Pa_1_440.G	182415	183759	1	1	ERR2224048	250
Pa_1_430.G	184684;184653;184661;184636	183885;183877;183882;183891	4	4	SRR6960214;SRR6960216;SRR6960217;SRR6960222	100
Pa_1_420.G	186860;186855;186842;186884;186841;186869	185081;185077;185103;185100;185150;185058	6	6	SRR6960209;SRR6960213;SRR6960218;SRR6960219;SRR6960223;SRR6960225	75
